"RUNNO","TRNO","R","O","P","CR","MODEL","EXNAME","TNAM","FNAM","WSTA","WYEAR","SOIL_ID","XLAT","LONG","ELEV","SDAT","PDAT","EDAT","ADAT","MDAT","HDAT","HYEAR","DWAP","CWAM","HWAM","HWAH","BWAH","PWAM","HWUM","HAM","HUM","HIAM","LAIX","EYLDH","FCWAM","FHWAM","HWAHF","FBWAH","FPWAM","IRM","IRCM","PRCM","ETCM","EPCM","ESCM","ROCM","DRCM","SWXM","NIM","NICM","NFXM","NUCM","NLCM","NIAM","NMINC","CNAM","GNAM","N2OEM","PIM","PICM","PUPC","SPAM","KIM","KICM","KUPC","SKAM","RECM","ONTAM","ONAM","OPTAM","OPAM","OCTAM","OCAM","CO2EM","CH4EM","DMPPM","DMPEM","DMPTM","DMPIM","YPPM","YPEM","YPTM","YPIM","DPNAM","DPNUM","YPNAM","YPNUM","NDCH","TMAXA","TMINA","SRADA","DAYLA","CO2A","PRCP","ETCP","ESCP","EPCP","CRST"
1,1,1,1,1,"WH","WHAPS048","BADI1701","ND_Bari_Gom_26_sd_1_R1","BADI001","BADI1701",2017,"BD03338263",52.4,5.4,-4,2017324,2017329,2017333,2018041,2018080,2018080,2018,NA,12419,5157,5157,0,1893,32.43,15901,53,0.415,5.3,-99,NA,NA,NA,NA,NA,19,279,0,352,259,93,0,1,201,2,99,0,188,0,14,105,152,130,0.086,NA,NA,NA,NA,NA,NA,NA,NA,0,27283,27283,0,0,209500,209500,1198.7,1.4,NA,36.4,47.9,44.4,NA,15.1,19.9,18.5,125.4,66.1,52.1,27.4,116,25.6,13.3,13.4,11.8,407.4,NA,341,81.9,259.1,1
2,2,1,1,1,"WH","WHAPS048","BADI1701","ND_Bari_Gom_26_sd_2_R1","BADI001","BADI1701",2017,"BD03338263",52.4,5.4,-4,2017324,2017339,2017343,2018050,2018087,2018087,2018,NA,12203,4915,4915,0,2027,33.08,14861,49.5,0.403,5.5,-99,NA,NA,NA,NA,NA,20,291,0,375,272,103,0,1,190,2,99,0,195,0,15,113,156,133,0.094,NA,NA,NA,NA,NA,NA,NA,NA,0,27275,27275,0,0,209408,209408,1291.3,1.6,NA,34.5,44.9,41.9,NA,13.9,18.1,16.9,123.3,62.6,49.6,25.2,113,25.9,13.7,13.8,11.8,407.5,NA,353.3,81.2,272,1
3,3,1,1,1,"WH","WHAPS048","BADI1701","ND_Bari_Gom_26_sd_3_R1","BADI001","BADI1701",2017,"BD03338263",52.4,5.4,-4,2017324,2017349,2017354,2018057,2018094,2018094,2018,NA,11445,4652,4652,0,1947,34.75,13387,44.6,0.406,5.3,-99,NA,NA,NA,NA,NA,21,306,29,402,275,127,1,1,205,2,99,0,183,0,33,119,143,122,0.102,NA,NA,NA,NA,NA,NA,NA,NA,0,27269,27269,0,0,209317,209317,1381.5,1.7,393.3,31.4,41.7,37.4,159.9,12.7,16.9,15.2,115.6,62.5,47,25.4,110,26,14,14.2,11.8,407.5,29.1,365,90.4,274.6,1
4,4,1,1,1,"WH","WHAPS048","BADI1701","ND_Bari_Gom_26_sd_4_R1","BADI001","BADI1701",2017,"BD03338263",52.4,5.4,-4,2017324,2017359,2017364,2018064,2018101,2018101,2018,NA,10929,4487,4487,0,1943,35.77,12547,41.8,0.411,5.2,-99,NA,NA,NA,NA,NA,22,326,51,414,274,140,2,1,234,2,99,0,182,0,41,126,144,118,0.11,NA,NA,NA,NA,NA,NA,NA,NA,0,27262,27262,0,0,209223,209223,1476.2,1.9,326.3,30.2,39.9,33.6,133.9,12.4,16.4,13.8,110.4,60.1,45.3,24.7,107,26.5,14.5,14.6,11.8,407.6,33.5,361.4,87.5,273.9,1
5,5,1,1,1,"WH","WHAPS048","BADI1701","ND_Bari_Gom_26_sd_5_R1","BADI001","BADI1701",2017,"BD03338263",52.4,5.4,-4,2017324,2018004,2018011,2018071,2018107,2018107,2018,NA,9566,3978,3978,0,1590,33.74,11790,39.3,0.416,4.3,-99,NA,NA,NA,NA,NA,22,325,62,411,246,165,2,1,248,2,99,0,162,0,63,129,131,108,0.127,NA,NA,NA,NA,NA,NA,NA,NA,0,27260,27260,0,0,209125,209125,1574.2,2.2,181.5,28.1,38.9,29.4,75.5,11.7,16.2,12.2,96.6,59.1,40.2,24.6,103,27,15.2,14.9,11.9,407.6,52.7,339.9,93.9,246.1,1
6,6,1,1,1,"WH","WHAPS048","BADI1701","ND_Bari_Gom_30_sd_1_R1","BADI001","BADI1701",2017,"BD03338263",52.4,5.4,-4,2017324,2017329,2017333,2018043,2018082,2018082,2018,NA,12667,5113,5113,0,2155,33.72,15163,50.5,0.404,5.8,-99,NA,NA,NA,NA,NA,19,277,0,358,271,86,0,1,193,2,99,0,192,0,13,108,149,126,0.083,NA,NA,NA,NA,NA,NA,NA,NA,0,27280,27280,0,0,209476,209476,1223.1,1.7,NA,36.1,46.7,45.7,NA,14.6,18.8,18.5,127.9,66,51.6,26.6,118,25.7,13.4,13.5,11.8,407.4,NA,350.4,79,271.4,1
7,7,1,1,1,"WH","WHAPS048","BADI1701","ND_Bari_Gom_30_sd_2_R1","BADI001","BADI1701",2017,"BD03338263",52.4,5.4,-4,2017324,2017339,2017343,2018052,2018089,2018089,2018,NA,12386,4774,4774,0,2268,33.68,14175,47.3,0.385,5.9,-99,NA,NA,NA,NA,NA,20,292,19,383,280,103,0,1,202,2,99,0,199,0,14,116,152,128,0.091,NA,NA,NA,NA,NA,NA,NA,NA,0,27272,27272,0,0,209385,209385,1313.6,1.6,NA,34.4,44.2,42.4,NA,13.3,17,16.3,125.1,62.2,48.2,24,115,26,13.9,13.9,11.8,407.5,NA,359.9,79.8,280.1,1
8,8,1,1,1,"WH","WHAPS048","BADI1701","ND_Bari_Gom_30_sd_3_R1","BADI001","BADI1701",2017,"BD03338263",52.4,5.4,-4,2017324,2017349,2017354,2018059,2018095,2018095,2018,NA,11934,4616,4616,0,2250,34.71,13299,44.3,0.387,5.9,-99,NA,NA,NA,NA,NA,21,311,29,404,288,116,2,1,208,2,99,0,191,0,27,121,144,120,0.097,NA,NA,NA,NA,NA,NA,NA,NA,0,27267,27267,0,0,209313,209313,1385.7,1.7,410.1,32.5,41.5,38.4,158.6,12.6,16,14.8,120.5,62.5,46.6,24.2,111,26,14.1,14.2,11.8,407.5,29.1,367.7,79.9,287.8,1
9,9,1,1,1,"WH","WHAPS048","BADI1701","ND_Bari_Gom_30_sd_4_R1","BADI001","BADI1701",2017,"BD03338263",52.4,5.4,-4,2017324,2017359,2017364,2018065,2018102,2018102,2018,NA,11311,4424,4424,0,2127,35.83,12346,41.2,0.391,5.7,-99,NA,NA,NA,NA,NA,22,327,53,423,287,136,2,1,229,2,99,0,189,0,36,128,143,119,0.106,NA,NA,NA,NA,NA,NA,NA,NA,0,27260,27260,0,0,209215,209215,1484.1,1.9,221.4,30.7,39.4,34.6,86.6,12,15.4,13.5,114.3,59.8,44.7,23.4,108,26.5,14.6,14.6,11.8,407.6,51.1,368.2,80.8,287.4,1
10,10,1,1,1,"WH","WHAPS048","BADI1701","ND_Bari_Gom_30_sd_5_R1","BADI001","BADI1701",2017,"BD03338263",52.4,5.4,-4,2017324,2018004,2018011,2018073,2018108,2018108,2018,NA,10258,4003,4003,0,1853,33.74,11863,39.5,0.39,5,-99,NA,NA,NA,NA,NA,21,311,62,422,266,157,2,1,222,2,99,0,185,0,45,133,148,112,0.118,NA,NA,NA,NA,NA,NA,NA,NA,0,27255,27255,0,0,209116,209116,1583.5,2.3,164.6,29.1,38.6,33,64.3,11.4,15.1,12.9,103.6,55.4,40.4,21.6,104,27,15.2,15,11.9,407.6,62.3,352.1,86.6,265.6,1
